distance,x,y,Bed_meters
0.000000000000000,-339037.019171312451363,-1537303.480960303917527,-38.568847656250000
50.000000000000000,-339077.991003297036514,-1537332.139449165435508,-46.395935058593750
100.000000000000000,-339118.962835281621665,-1537360.797938026953489,-46.395935058593750
150.000000000000000,-339159.934667266206816,-1537389.456426888704300,-53.745056152343750
200.000000000000000,-339200.906499250733759,-1537418.114915750455111,-67.955444335937500
250.000000000000000,-339241.878331235318910,-1537446.773404611973092,-67.955444335937500
300.000000000000000,-339282.850163219904061,-1537475.431893473491073,-67.955444335937500
350.000000000000000,-339323.821995204489212,-1537504.090382335009053,-67.955444335937500
400.000000000000000,-339364.793827189074364,-1537532.748871196527034,-76.194152832031250
450.000000000000000,-339405.765659173659515,-1537561.407360058045015,-76.194152832031250
500.000000000000000,-339446.737491158186458,-1537590.065848919562995,-76.194152832031250
550.000000000000000,-339487.709323142771609,-1537618.724337781313807,-76.194152832031250
600.000000000000000,-339528.681155127356760,-1537647.382826642831787,-98.671752929687500
650.000000000000000,-339569.652987111941911,-1537676.041315504349768,-97.040649414062500
700.000000000000000,-339610.624819096527062,-1537704.699804365867749,-97.040649414062500
750.000000000000000,-339651.596651081112213,-1537733.358293227385730,-105.278442382812500
800.000000000000000,-339692.568483065639157,-1537762.016782088903710,-105.278442382812500
850.000000000000000,-339733.540315050224308,-1537790.675270950421691,-105.278442382812500
900.000000000000000,-339774.512147034809459,-1537819.333759812172502,-99.728881835937500
950.000000000000000,-339815.483979019394610,-1537847.992248673690483,-127.049560546875014
1000.000000000000000,-339856.455811003979761,-1537876.650737535208464,-127.049560546875014
1050.000000000000000,-339897.427642988564912,-1537905.309226396726444,-127.049560546875014
1100.000000000000000,-339938.399474973150063,-1537933.967715258244425,-127.049560546875014
1150.000000000000000,-339979.371306957677007,-1537962.626204119762406,-139.600463867187500
1200.000000000000000,-340020.343138942262158,-1537991.284692981280386,-131.097412109375000
1250.000000000000000,-340061.314970926847309,-1538019.943181842798367,-131.097412109375000
1300.000000000000000,-340102.286802911432460,-1538048.601670704316348,-156.481750488281250
1350.000000000000000,-340143.258634896017611,-1538077.260159566067159,-156.481750488281250
1400.000000000000000,-340184.230466880602762,-1538105.918648427585140,-156.481750488281250
1450.000000000000000,-340225.202298865129706,-1538134.577137289103121,-130.285461425781250
1500.000000000000000,-340266.174130849714857,-1538163.235626150621101,-153.749267578125000
1550.000000000000000,-340307.145962834300008,-1538191.894115012139082,-153.749267578125000
1600.000000000000000,-340348.117794818885159,-1538220.552603873889893,-153.749267578125000
1650.000000000000000,-340389.089626803470310,-1538249.211092735407874,-153.749267578125000
1700.000000000000000,-340430.061458788055461,-1538277.869581596925855,-140.230529785156250
1750.000000000000000,-340471.033290772582404,-1538306.528070458443835,-140.230529785156250
1800.000000000000000,-340512.005122757167555,-1538335.186559319961816,-140.230529785156250
1850.000000000000000,-340552.976954741752706,-1538363.845048181479797,-149.738830566406250
1900.000000000000000,-340593.948786726337858,-1538392.503537043230608,-149.738830566406250
1950.000000000000000,-340634.920618710923009,-1538421.162025904748589,-108.382446289062500
2000.000000000000000,-340675.892450695508160,-1538449.820514766266569,-108.382446289062500
2050.000000000000000,-340716.864282680035103,-1538478.479003627784550,-132.119750976562500
2100.000000000000000,-340757.836114664620254,-1538507.137492489302531,-132.119750976562500
2150.000000000000000,-340798.807946649205405,-1538535.795981350820512,-132.119750976562500
2200.000000000000000,-340839.779778633790556,-1538564.454470212338492,-132.119750976562500
2250.000000000000000,-340880.751610618375707,-1538593.112959074089304,-121.916076660156250
2300.000000000000000,-340921.723442602960858,-1538621.771447935607284,-121.916076660156250
2350.000000000000000,-340962.695274587546010,-1538650.429936797125265,-121.916076660156250
2400.000000000000000,-341003.667106572072953,-1538679.088425658643246,-164.801086425781250
2450.000000000000000,-341044.638938556658104,-1538707.746914520161226,-164.801086425781250
2500.000000000000000,-341085.610770541243255,-1538736.405403381679207,-112.270507812500000
2550.000000000000000,-341126.582602525828406,-1538765.063892243430018,-112.270507812500000
2600.000000000000000,-341167.554434510413557,-1538793.722381104947999,-149.968750000000000
2650.000000000000000,-341208.526266494998708,-1538822.380869966465980,-149.968750000000000
2700.000000000000000,-341249.498098479525652,-1538851.039358827983961,-149.968750000000000
2750.000000000000000,-341290.469930464110803,-1538879.697847689501941,-112.674194335937500
2800.000000000000000,-341331.441762448695954,-1538908.356336551019922,-138.862670898437500
2850.000000000000000,-341372.413594433281105,-1538937.014825412537903,-138.862670898437500
2900.000000000000000,-341413.385426417866256,-1538965.673314274055883,-138.862670898437500
2950.000000000000000,-341454.357258402451407,-1538994.331803135806695,-159.860351562500000
3000.000000000000000,-341495.329090386978351,-1539022.990291997324675,-127.920104980468750
3050.000000000000000,-341536.300922371563502,-1539051.648780858842656,-127.920104980468750
3100.000000000000000,-341577.272754356148653,-1539080.307269720360637,-127.920104980468750
3150.000000000000000,-341618.244586340733804,-1539108.965758581878617,-151.609008789062500
3200.000000000000000,-341659.216418325318955,-1539137.624247443396598,-151.609008789062500
3250.000000000000000,-341700.188250309904106,-1539166.282736304914579,-151.609008789062500
3300.000000000000000,-341741.160082294489257,-1539194.941225166665390,-115.828674316406250
3350.000000000000000,-341782.131914279016200,-1539223.599714028183371,-139.889282226562500
3400.000000000000000,-341823.103746263601352,-1539252.258202889701352,-139.889282226562500
3450.000000000000000,-341864.075578248186503,-1539280.916691751219332,-139.889282226562500
3500.000000000000000,-341905.047410232771654,-1539309.575180612737313,-151.420776367187500
3550.000000000000000,-341946.019242217356805,-1539338.233669474255294,-128.871398925781250
3600.000000000000000,-341986.991074201941956,-1539366.892158335773274,-128.871398925781250
3650.000000000000000,-342027.962906186468899,-1539395.550647197524086,-128.871398925781250
3700.000000000000000,-342068.934738171054050,-1539424.209136059042066,-136.161132812500000
3750.000000000000000,-342109.906570155639201,-1539452.867624920792878,-136.161132812500000
3800.000000000000000,-342150.878402140224352,-1539481.526113782310858,-120.174926757812500
3850.000000000000000,-342191.850234124809504,-1539510.184602643828839,-120.174926757812500
3900.000000000000000,-342232.822066109394655,-1539538.843091504881158,-126.714660644531250
3950.000000000000000,-342273.793898093921598,-1539567.501580366399139,-126.714660644531250
4000.000000000000000,-342314.765730078506749,-1539596.160069228382781,-126.714660644531250
4050.000000000000000,-342355.737562063091900,-1539624.818558089900762,-126.133605957031250
4100.000000000000000,-342396.709394047677051,-1539653.477046951418743,-126.133605957031250
4150.000000000000000,-342437.681226032262202,-1539682.135535812936723,-126.133605957031250
4200.000000000000000,-342478.653058016847353,-1539710.794024674454704,-126.133605957031250
